order_id,order_datetime,buyer_id,buyer_type,fruit_type,quantity,catalog_price,paid_amount,is_anomaly
ORD-00926,2024-01-01 09:00:00,BUY-0073,reseller,Jeruk,15,21645.0,319102.0,False
ORD-02617,2024-01-01 10:00:00,BUY-0036,retail,Anggur,1,50491.0,49069.0,False
ORD-02131,2024-01-01 13:00:00,BUY-0121,retail,Semangka,1,9745.0,9335.0,False
ORD-04127,2024-01-01 15:00:00,BUY-0111,retail,Pisang,3,17131.0,47955.0,False
ORD-03672,2024-01-01 17:00:00,BUY-0039,retail,Apel,3,32737.0,91760.0,False
ORD-03773,2024-01-01 18:00:00,BUY-0093,retail,Pepaya,2,9566.0,17901.0,False
ORD-01941,2024-01-02 12:00:00,BUY-0145,retail,Jeruk,4,21432.0,81443.0,False
ORD-00951,2024-01-02 12:00:00,BUY-0111,retail,Anggur,4,52531.0,203797.0,False
ORD-01280,2024-01-02 16:00:00,BUY-0103,retail,Apel,2,33934.0,63681.0,False
ORD-00150,2024-01-02 16:00:00,BUY-0138,retail,Jeruk,3,22651.0,64293.0,False
ORD-00879,2024-01-02 17:00:00,BUY-0048,retail,Pepaya,4,9640.0,36083.0,False
ORD-02235,2024-01-03 08:00:00,BUY-0074,retail,Semangka,3,10018.0,27737.0,False
ORD-03803,2024-01-03 12:00:00,BUY-0039,retail,Jeruk,2,22041.0,42077.0,False
ORD-02819,2024-01-03 15:00:00,BUY-0074,retail,Jeruk,4,23116.0,90253.0,False
ORD-03084,2024-01-03 17:00:00,BUY-0055,retail,Anggur,2,51466.0,100585.0,False
ORD-01497,2024-01-03 18:00:00,BUY-0108,retail,Jeruk,4,22055.0,83633.0,False
ORD-02015,2024-01-03 19:00:00,BUY-0077,retail,Pepaya,3,10399.0,28612.0,False
ORD-02716,2024-01-04 09:00:00,BUY-0102,retail,Jeruk,4,21517.0,79400.0,False
ORD-03099,2024-01-04 10:00:00,BUY-0135,retail,Mangga,3,25614.0,73807.0,False
ORD-03957,2024-01-04 12:00:00,BUY-0037,retail,Jeruk,1,21641.0,21170.0,False
ORD-03637,2024-01-04 14:00:00,BUY-0081,retail,Jeruk,4,23257.0,85238.0,False
ORD-01154,2024-01-04 15:00:00,BUY-0047,retail,Apel,4,33018.0,119339.0,False
ORD-02984,2024-01-04 15:00:00,BUY-0066,retail,Pepaya,2,10149.0,19442.0,False
ORD-00231,2024-01-04 18:00:00,BUY-0081,retail,Nanas,3,11892.0,33830.0,False
ORD-01903,2024-01-04 18:00:00,BUY-0118,retail,Jeruk,4,21603.0,82654.0,False
ORD-01054,2024-01-04 21:00:00,BUY-0069,retail,Mangga,4,26016.0,100795.0,False
ORD-03776,2024-01-05 03:00:00,BUY-0067,retail,Nanas,124,12051.0,75844.0,True
ORD-01719,2024-01-05 03:00:00,BUY-0125,retail,Anggur,111,53421.0,134927.0,True
ORD-02879,2024-01-05 09:00:00,BUY-0110,reseller,Apel,11,31467.0,322879.0,False
